school_name,district,city,channel_group,utm_source,utm_medium,utm_campaign,utm_content,apply_url
Karatay Aykent Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-karatay-aykent-mesleki-ve-teknik-anadolu-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-aykent-mesleki-ve-teknik-anadolu-lisesi&utm_term=karatay
Karatay Belediyesi 23 Nisan İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-karatay-belediyesi-23-nisan-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-belediyesi-23-nisan-imam-hatip-ortaokulu&utm_term=karatay
Karatay Belediyesi İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-karatay-belediyesi-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-belediyesi-imam-hatip-ortaokulu&utm_term=karatay
Karatay Belediyesi Osman Benliler İlkokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-karatay-belediyesi-osman-benliler-ilkokulu,https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-belediyesi-osman-benliler-ilkokulu&utm_term=karatay
Karatay Borsa İstanbul Gazi Mustafa Kemal Turizm Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-karatay-borsa-istanbul-gazi-mustafa-kemal-turizm-mesleki-ve-teknik-anadolu-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-borsa-istanbul-gazi-mustafa-kemal-turizm-mesleki-ve-teknik-anadolu-lisesi&utm_term=karatay
Karatay Borsa İstanbul Zübeyde Hanım Kız Mesleki ve Teknik Anadolu Lisesi,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-karatay-borsa-istanbul-zubeyde-hanim-kiz-mesleki-ve-teknik-anadolu-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-borsa-istanbul-zubeyde-hanim-kiz-mesleki-ve-teknik-anadolu-lisesi&utm_term=karatay
Karatay Fen Lisesi,KARATAY,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,karatay-karatay-fen-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-fen-lisesi&utm_term=karatay
Karatay Hamza Yerlikaya Spor Lisesi,KARATAY,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,karatay-karatay-hamza-yerlikaya-spor-lisesi,https://teachera.com.tr/bursluluk-2026?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-hamza-yerlikaya-spor-lisesi&utm_term=karatay
Karatay Hürriyet Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-karatay-hurriyet-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-hurriyet-ortaokulu&utm_term=karatay
Karatay İlhan-Nuran Keskin Ortaokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-karatay-ilhan-nuran-keskin-ortaokulu,https://teachera.com.tr/bursluluk-2026?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-karatay-ilhan-nuran-keskin-ortaokulu&utm_term=karatay
